,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
0,CE_PE_SMA10_SMA30_2023,2023-09-11,Buy,NIFTY,50,CE,20000,2023-09-14,09:57:53,47.6,15:15:00,70.55
1,CE_PE_SMA10_SMA30_2023,2023-09-12,Buy,NIFTY,50,PE,20000,2023-09-14,10:25:06,101.05,11:30:00,64.2
2,CE_PE_SMA10_SMA30_2023,2023-09-12,Buy,NIFTY,50,CE,20100,2023-09-14,11:30:00,46.3,12:54:41,28.55
3,CE_PE_SMA10_SMA30_2023,2023-09-12,Buy,NIFTY,50,PE,20000,2023-09-14,12:54:41,98.75,14:10:01,65.65
4,CE_PE_SMA10_SMA30_2023,2023-09-12,Buy,NIFTY,50,CE,20100,2023-09-14,14:10:01,35.65,15:15:00,28.8
5,CE_PE_SMA10_SMA30_2023,2023-09-13,Buy,NIFTY,50,CE,20100,2023-09-14,11:13:55,26.0,15:15:00,38.75
6,CE_PE_SMA10_SMA30_2023,2023-09-14,Buy,NIFTY,50,PE,20100,2023-09-14,11:39:04,68.5,14:20:51,25.3
7,CE_PE_SMA10_SMA30_2023,2023-09-14,Buy,NIFTY,50,CE,20100,2023-09-14,14:20:51,9.1,15:15:00,2.1
8,CE_PE_SMA10_SMA30_2023,2023-09-15,Buy,NIFTY,50,PE,20200,2023-09-21,12:55:20,91.55,14:30:03,74.75
9,CE_PE_SMA10_SMA30_2023,2023-09-15,Buy,NIFTY,50,CE,20200,2023-09-21,14:30:03,100.1,15:15:00,94.1
10,CE_PE_SMA10_SMA30_2023,2023-09-20,Buy,NIFTY,50,PE,20100,2023-09-21,09:47:12,113.15,15:15:00,
