,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
0,CE_PE_EMA10_EMA30_2022,2022-01-04,Buy,NIFTY,50,PE,17700,2022-01-06,13:45:00,93.05,14:36:25,56.95
1,CE_PE_EMA10_EMA30_2022,2022-01-04,Buy,NIFTY,50,CE,17800,2022-01-06,14:36:25,50.55,15:15:00,72.9
2,CE_PE_EMA10_EMA30_2022,2022-01-05,Buy,NIFTY,50,PE,17800,2022-01-06,11:10:10,73.65,11:55:50,48.5
3,CE_PE_EMA10_EMA30_2022,2022-01-05,Buy,NIFTY,50,CE,17900,2022-01-06,11:55:50,35.55,15:15:00,73.25
4,CE_PE_EMA10_EMA30_2022,2022-01-06,Buy,NIFTY,50,PE,17800,2022-01-06,09:20:05,73.6,13:00:00,89.0
5,CE_PE_EMA10_EMA30_2022,2022-01-06,Buy,NIFTY,50,CE,17800,2022-01-06,13:00:00,4.6,15:15:00,0.1
6,CE_PE_EMA10_EMA30_2022,2022-01-07,Buy,NIFTY,50,PE,17900,2022-01-13,11:46:20,174.75,15:00:40,187.25
7,CE_PE_EMA10_EMA30_2022,2022-01-07,Buy,NIFTY,50,CE,17800,2022-01-13,15:00:40,135.85,15:15:00,153.15
8,CE_PE_EMA10_EMA30_2022,2022-01-10,Buy,NIFTY,50,PE,17900,2022-01-13,11:56:40,110.05,12:52:15,79.05
9,CE_PE_EMA10_EMA30_2022,2022-01-10,Buy,NIFTY,50,CE,18000,2022-01-13,12:52:15,99.25,15:15:00,121.3
10,CE_PE_EMA10_EMA30_2022,2022-01-11,Buy,NIFTY,50,CE,18100,2022-01-13,10:57:30,70.95,15:15:00,71.75
11,CE_PE_EMA10_EMA30_2022,2022-01-12,Buy,NIFTY,50,CE,18200,2022-01-13,09:45:15,57.1,13:15:25,61.35
12,CE_PE_EMA10_EMA30_2022,2022-01-12,Buy,NIFTY,50,PE,18200,2022-01-13,13:15:25,65.65,15:00:10,50.0
13,CE_PE_EMA10_EMA30_2022,2022-01-12,Buy,NIFTY,50,CE,18200,2022-01-13,15:00:10,69.9,15:15:00,68.1
14,CE_PE_EMA10_EMA30_2022,2022-01-13,Buy,NIFTY,50,PE,18200,2022-01-13,10:40:05,52.8,11:55:00,15.3
